id,category,title,ingredients
resep-24973574,sayuran,Tumis kangkung,"['250 gram kangkung', '3 siung bawang putih, iris', '2 siung bawang merah, iris', 'secukupnya Gula pasir', 'secukupnya Garam', 'secukupnya Minyak goreng', 'secukupnya Air', '1/2 sdm Kecap Inggeris Asia Harum Sedap', '1/2 sdm kecap manis', '1/2 sdm saus tiram']"
resep-24954919,sayuran,Cap Cay Goreng Chinese,"['150 gr dada ayam fillet', '1 buah wortel', '100 gr kembang kol', '150 gr pakcoy', '150 gr sawi putih', '2 batang daun pre', '5 siung bawang putih', '1 buah bawang bombay sedang', '2 sdm kecap asin', '1 sdm kecap ikan', '2 sdm saos tiram', '1/2 sdt merica', '1 sdt gula pasir', '1/3 sdt garam', '1/2 sdt royco ayam', '1/2 sdt micin', '1/2 sdt minyak wijen', 'secukupnya minyak goreng', 'secukupnya air panas', 'secukupnya larutan tepung maizena']"
resep-24973442,telur,Telur Saur Tiram Devina Hermawan,"['3 butir telur', '1 1/2 sdm tepung terigu protein sedang', '1/2 sdt kaldu ayam bubuk', '2 sdm air', '3 siung bawang putih', '1/4 buah bawang bombai', '1 batang daun bawang', '2 sdm saus tiram', '1 sdm kecap asin', '1 sdt minyak wijen', '2 sdt gula pasir', '1/2 sdt kaldu jamur', '1 1/2 sdm maizena', '250 ml air', 'nasi putih']"
resep-24983960,telur,Nasi Goreng Telor Dadar,"['3 Porsi Nasi Dingin', 'Sawi &amp; Bakso Ikan (Opsional)', '3 butir Telur', '2 batang Daun Bawang', 'Secukupnya Garam', 'Secukupnya Lada', 'Secukupnya Ketumbar Halus', '2 siung Bawang Merah', '3 siung Bawang Putih', '3 butir Kemiri', 'Secukupnya Kecap Ikan', 'Secukupnya Kecap', 'Secukupnya Kecap Asin']"
resep-24969508,telur,Sosis telur tanpaayam,"['4 telur ayam', 'Secukupnya wortel parut', '2 siung bawang putih parut', '1 batang daun bawang', 'Secukupnya sea salt/garam', '1/4 sdt lada bubuk', 'Secukupnya ketumbar bubuk', 'Secukupnya plastik unyil', 'Secukupnya minyak kelapa']"
resep-24983908,telur,Telur Santan Keju Susu Kukus MPASI,"['1 butir Telur ayam', '20 ml Sari pati santan', '30 ml Air matang', '10 g Keju parut', '30 ml Susu UHT / Asi', '15 g Gula aren', '1 cup kecil anchor butter', '1 sendok oatmeal']"
resep-24960564,telur,Telur Balado,"['12 butir telur', '10 Bawang merah', '4 Bawang putih', '4 Cabe merah besar', '20 Cabe merah keriting', '10 Cabe rawit Merah (opsional)', '1 buah Tomat', '1 batang Sereh', '2 daun salam', '1 sdt garam', '1 sdt kaldu jamur', '100 ml air']"
resep-24977867,kue bolu,Set jajanan pasar bolu pandan sukade risol sosis spicy mayo nagasari hunkwe nangka mutiara,"['150 gram tepung terigu protein sedang', '1,5 sdm tepung tapioka', '2 sdm minyak goreng bersih', '1/2 sdt garam halus', '1 butir telur ayam', '350 ml air', '6 buah sosis', '150 gram mayonnaise', '40 gram saus sambal', 'Secukupnya tepung panir', 'Secukupnya tepung terigu larutkan dengan sedikit air', 'Secukupnya minyak untuk menggoreng', '2 butir telur ayam', '100 gram gula pasir', '1/2 sdt sp', '120 gram tepung terigu protein sedang', '60 ml susu cair full cream', '70 ml minyak goreng bersih', '1 sdt pasta pandan', '2 sdm sukade', '80 gram tepung hunkwe', '100 gram gula pasir', '1/2 sdt garam halus', '1/2 sdt vanili bubuk', '650 ml santan', '50 gram sagu mutiara', '4 buah nangka potong-potong']"
resep-24467036,kue bolu,Bolu Pisang Kepok,"['3 buah pisang kepok', '2 butir telur', '85 gram gula', '200 gram terigu', '1/2 sdt vanila', '1/2 sdt kayu manis bubuk', '1/2 sdt baking soda', '1/2 sdt baking powder', '50 ml susu cair', '120 gram mentega (butter)', '50 gram keju (potong dadu, opsional)', 'Irisan pisang', 'Chocochip (white and chocolate)']"
resep-24983114,kue bolu,Bolu kukus,"['4 butir telur', '200 g gula pasir', '1 sdt vanili', '1/2 sdt garam', '1 sdt SP', '250 g tepung terigu', '1 bungkus susu bubuk sachet (aku pakai dancow)', '200 ml susu cair uht', '140 ml minyak goreng', '1 sdt baking powder']"
resep-24982452,kue bolu,Onbitjkoek Roll Cake,"['3 butir kuning telur', '2 butir telor utuh', '60 gr gula palm', '35 gr tepung terigu protein sedang', '1/4 sdt kayu manis bubuk', '1/4 sdt bumbu spikuk', '35 gr butter lelehkan, biarkan suhu ruang', '15 gr almond slice untuk topping', '3 sdm Butter cream untuk olesan']"
resep-24982678,kue bolu,Bolu Ngeprul,"['150 gr gula pasir', '1 sdt sp', '4 butir telur ayam', '160 gr tepung terigu', '20 gr maizena', '1/2 sdt bp', '1 sdm susu bubuk', '1 sdt vanili cair/ vanili bubuk', 'Sejumput garam', '150 ml minyak sayur']"
resep-24984503,brownies,Banana Choco brownies pisang,"['190 gram tepung terigu', '50 gram coklat bubuk', '1 sdt soda kue', '1/4 sdt BP', '1/2 sdt garam', '350 gram pisang, lumatkan (saya pisang marlin/kecil)', '150 gram gula pasir (jika ingin lebih manis bisa 170 gram)', '2 butir telur', '80 ml minyak sayur']"
resep-24978620,brownies,Fuggy Brownies Telur Shiny Crust by Ibnu Kitchen,"['75 gr Dcc', '25 gr Margarin', '20 ml minyak sayur', '1 butir Telur', '70 gr gula halus', '50 gr tepung terigu', '17 g cokelat bubuk', 'sesuai selera Toping']"
resep-24979431,brownies,Brownies kukus stroberi pop ice,"['3 butir telur', '90 gr gula (menurutku ini kemanisan jd yg ga suka manis,kurangin aja)', '80 gr tepung terigu', '2 sct pop ice stroberi', '1/2 sdt tbm', '1 sdt baking powder', '107 gr coklat batang stroberi (ini sisaan jd seadanya)', '100 gr mentega']"
resep-24978336,brownies,Brownies Kukus Ala Amanda,"['60 g Dark chocolate', '80 g Margarin', '125 g Gula pasir', '3 butir Telur', '1/2 sdt sp', '65 g Tepung terigu', '20 g Cokelat bubuk', '1/4 sdt garam', '1/2 sdt Baking powder', '1/2 sdt vanili bubuk', '1 sdt pasta coklat', '1 sachet SKM coklat', 'sesuai selera butter cream', '2 sdm Meises coklat warna-warni', '8 buah Permen yupi']"
resep-24978370,brownies,Brownies Cookies,"['170 gr dark cooking chocolate', '150 gr margarin Rose Brand', '50 gr butter', '4 butir telur', '240 gr gula pasir Rose Brand', '1/2 sdt vanili bubuk', '110 gr tepung terigu protein sedang', '50 gr cokelat bubuk', '50 gr cokelat cincang (saya ganti choco chips)', '4 gr kopi hitam instan (saya skip)', 'Sejumput garam', '100 gr keju cheddar parut', '40 gr margarin Rose Brand', '15 gr butter', '35 gr brown sugar (saya skip)', '35 gr gula pasir Rose Brand', '1/2 sdt vanili bubuk', '1 butir telur ukuran kecil', '80 gr tepung terigu protein rendah', '1/4 sdt soda kue', '55 gr choco chips', 'Sejumput garam']"
resep-24975685,cheesecake,Marble Cheesecake Merah Putih,"['130 gr susu cair', '40 gr butter', '125 gr krim keju (sy pakai keju oles)', '30 gr terigu pro rendah', '15 gr maizena', '3 kuning telur', '1 sdt parutan kulit lemon (sy skip)', '1 sdt vanilla ekstrak', '3 putih telur', '80 gr gula halus', 'Secukupnya air jeruk nipis']"
resep-24971161,cheesecake,Resep Cheese Cake,"['200 gr cream cheese', '200 ml fresh cream', '2 butir telur', '60 gr gula pasir', '3 sdm tepung terigu', '2 sdm air lemon', 'Dasar Kue Opsional', '60 gr biskuit ritz / dll', '30 gr butter']"
resep-24953861,cheesecake,Burnt basque cheesecake,"['450 gr cream cheese (anchor)', '120 gr gula', '3 butir telur', '1 sdt vanilla paste (good vanilla)', '2 sdt lemon juice', '20 gr tepung maizena', '270 gr dairy whipping cream (greenfields)']"
resep-24967016,cheesecake,Cheesecake Redvelvet GAS,"['1 Bks Oreo redvelvet', '60 gr keju parut', '450 ml susu', 'Secukupnya larutan maizena']"
